kind	id	priority	notes	pattern	flags	replace	exception_in	exception_out	grapheme	out	pos	before	after
exception	E_007_THEIR	0	their vowel				thêr						
exception	E_008_THEY	0	they vowel				ðā						
exception	E_009_THEN	0	common voiced th					then					
exception	E_010_THAN	0	common voiced th					than					
exception	E_011_WAS	0	irregular vowel					was					
exception	E_012_WERE	0	irregular vowel					were					
exception	E_013_WHERE	0	irregular vowel					where					
exception	E_014_HERE	0	irregular vowel					here					
exception	E_015_HOUR	0	silent h					hour					
exception	E_016_HONEST	0	silent h					honest					
exception	E_017_HONOR	0	silent h					honor					
exception	E_018_HEIR	0	silent h					heir					
exception	E_019_HERB	0	silent h (US)					herb					
exception	E_020_KNOW	0	kn->n + irregular vowel					know					
exception	E_021_KNIFE	0	kn->n					knife					
exception	E_022_KNEE	0	kn->n					knee					
exception	E_023_KNOCK	0	kn->n					knock					
exception	E_024_KNOT	0	kn->n					knot					
exception	E_025_WRONG	0	wr->r					wrong					
exception	E_026_WRITE	0	wr->r					write					
exception	E_027_WRITEN	0	common misspelling mapping					writen					
exception	E_028_WROTE	0	wr->r					wrote					
exception	E_029_WHO	0	who vowel				hū						
exception	E_030_WHOSE	0	who vowel				hūz						
exception	E_031_TWO	0	irregular vowel					two					
exception	E_032_ONE	0	irregular vowel					one					
exception	E_033_ONCE	0	irregular vowel					once					
exception	E_034_DO	0	irregular vowel					do					
exception	E_035_DONE	0	irregular vowel					done					
exception	E_036_DOES	0	irregular vowel					does					
exception	E_037_GONE	0	irregular vowel					gone					
exception	E_038_SOME	0	irregular vowel					some					
exception	E_039_COME	0	irregular vowel					come					
exception	E_040_BLOOD	0	oo -> ŭ					blood					
exception	E_041_FLOOD	0	oo -> ŭ					flood					
exception	E_042_GOOD	0	oo -> ŭ					good					
exception	E_043_BOOK	0	oo -> ŭ					book					
exception	E_044_LOOK	0	oo -> ŭ					look					
exception	E_045_TOOK	0	oo -> ŭ					took					
exception	E_046_WOOD	0	oo -> ŭ					wood					
exception	E_047_FOOD	0	oo -> ū					food					
exception	E_048_MOON	0	oo -> ū					moon					
exception	E_049_SOON	0	oo -> ū					soon					
exception	E_050_POOL	0	oo -> ū					pool					
exception	E_051_COULD	0	silent l					could					
exception	E_052_WOULD	0	silent l					would					
exception	E_053_SHOULD	0	silent l					should					
exception	E_054_SAID	0	irregular vowel					said					
exception	E_055_SAYS	0	irregular vowel					says					
exception	E_056_SAY	0	long a				sā						
exception	E_057_AGAIN	0	irregular vowel					again					
exception	E_058_ANY	0	irregular vowel					any					
exception	E_059_MANY	0	irregular vowel					many					
exception	E_060_WOMAN	0	irregular vowel					woman					
exception	E_061_WOMEN	0	irregular vowel					women					
exception	E_062_CHILD	0	irregular vowel					child					
exception	E_063_CHILDREN	0	irregular plural					children					
exception	E_064_PEOPLE	0	irregular					people					
exception	E_065_FRIEND	0	irregular vowel					friend					
exception	E_066_BUILD	0	irregular					build					
exception	E_067_GUARD	0	silent u					guard					
exception	E_068_GUESS	0	gu->g					guess					
exception	E_069_GUEST	0	gu->g					guest					
exception	E_070_BURY	0	irregular vowel					bury					
exception	E_071_BUSY	0	irregular vowel					busy					
exception	E_072_BUSINESS	0	irregular vowel					business					
exception	E_073_ENOUGH	0	gh -> ∅ + vowel					enough					
exception	E_074_TOUGH	0	gh -> ∅ + vowel					tough					
exception	E_075_THOUGH	0	gh silent					though					
exception	E_076_THOUGHT	0	gh silent					thought					
exception	E_077_THROUGH	0	gh silent					through					
exception	E_078_COUGH	0	gh -> f					cough					
exception	E_079_LAUGH	0	gh -> f					laugh					
exception	E_080_DAUGHTER	0	gh silent					daughter					
exception	E_081_NIGHT	0	igh -> ī					night					
exception	E_082_LIGHT	0	igh -> ī					light					
exception	E_083_RIGHT	0	igh -> ī					right					
exception	E_084_EIGHT	0	eigh -> ā					eight					
exception	E_085_WEIGHT	0	eigh -> ā					weight					
exception	E_086_HEIGHT	0	eigh -> ā					height					
exception	E_087_GREAT	0	ea -> ā					great					
exception	E_088_BREAK	0	ea -> ā					break					
exception	E_089_STEAK	0	ea -> ā					steak					
exception	E_090_BREAD	0	ea -> ĕ					bread					
exception	E_091_HEAD	0	ea -> ĕ					head					
exception	E_092_DEAD	0	ea -> ĕ					dead					
exception	E_093_LEAD_NOUN	0	lead metal					lead					
exception	E_094_LEAD_VERB	0	lead verb (you may split later)					lead					
exception	E_095_READ_PAST	0	read past					read					
exception	E_096_READ_PRESENT	0	read present					read					
exception	E_097_WIND_NOUN	0	wind noun					wind					
exception	E_098_WIND_VERB	0	wind verb					wind					
exception	E_099_LIVE_VERB	0	live verb					live					
exception	E_100_LIVE_ADJ	0	live adj					live					
exception	E_101_SEW	0	irregular					sew					
exception	E_102_DEW	0	irregular					dew					
exception	E_103_FEW	0	irregular					few					
exception	E_104_NEW	0	irregular					new					
exception	E_105_YOU	0	irregular					you					
exception	E_106_YOUR	0	irregular					your					
exception	E_107_YOURSELF	0	compound					yourself					
exception	E_108_EYE	0	irregular					eye					
exception	E_109_HAVE	0	irregular silent e					have					
exception	E_110_GIVE	0	irregular silent e					give					
exception	E_111_LIVE	0	irregular silent e					live					
exception	E_112_DONE_ALT	0	common alt spelling mapping					dun					
exception	E_113_OF	0	irregular					of					
exception	E_114_OFF	0	double f sound					off					
exception	E_115_FROM	0	irregular					from					
exception	E_116_WANT	0	a->ɔ					want					
exception	E_117_WASNT	0	contraction mapping					wasn't					
exception	E_118_DONT	0	contraction mapping					don't					
exception	E_119_CANT	0	contraction mapping					can't					
exception	E_120_WONT	0	contraction mapping					won't					
exception	E_121_ISNT	0	contraction mapping					isn't					
exception	E_122_ARENT	0	contraction mapping					aren't					
exception	E_123_WERENT	0	contraction mapping					weren't					
exception	E_124_COULDN'T	0	contraction mapping					couldn't					
exception	E_125_WOULDN'T	0	contraction mapping					wouldn't					
exception	E_126_SHOULDN'T	0	contraction mapping					shouldn't					
exception	E_127_THERES	0	contraction mapping					there's					
exception	E_128_THATS	0	contraction mapping					that's					
exception	E_129_IM	0	contraction mapping					i'm					
exception	E_130_ILL	0	contraction mapping					i'll					
exception	E_131_IVE	0	contraction mapping					i've					
exception	E_132_ID	0	contraction mapping					i'd					
exception	E_133_WE'RE	0	contraction mapping					we're					
exception	E_134_THEYRE	0	contraction mapping					they're					
exception	E_135_YOURE	0	contraction mapping					you're					
exception	E_136_HES	0	contraction mapping					he's					
exception	E_137_SHES	0	contraction mapping					she's					
exception	E_138_ITS	0	contraction mapping					it's					
exception	E_139_LETS	0	contraction mapping					let's					
exception	E_140_WHATS	0	contraction mapping					what's					
exception	E_141_WHOS	0	contraction mapping					who's					
exception	E_142_COLONEL	0	irregular					colonel					
exception	E_143_YACHT	0	irregular					yacht					
exception	E_144_ISLAND	0	silent s					island					
exception	E_145_DEBT	0	silent b					debt					
exception	E_146_DOUBT	0	silent b					doubt					
exception	E_147_SUBTLE	0	silent b					subtle					
exception	E_148_THUMB	0	silent b					thumb					
exception	E_149_CLIMB	0	silent b					climb					
exception	E_150_LIMB	0	silent b					limb					
exception	E_151_BOMB	0	silent b					bomb					
exception	E_152_COMB	0	silent b					comb					
exception	E_153_TOMB	0	silent b					tomb					
exception	E_154_WEDNESDAY	0	irregular					wednesday					
exception	E_155_HANDSOME	0	silent d					handsome					
exception	E_156_GRANDMA	0	common simplified					grandma					
exception	E_157_GRANDFATHER	0	common simplified					grandfather					
exception	E_158_LISTEN	0	silent t					listen					
exception	E_159_CASTLE	0	silent t					castle					
exception	E_160_WHISTLE	0	silent t					whistle					
exception	E_161_FASTEN	0	silent t					fasten					
exception	E_162_HUSTLE	0	silent t (dialect)					hustle					
exception	E_163_SOFTEN	0	silent t					soften					
exception	E_164_OFTEN	0	t often silent					often					
exception	E_165_GNOME	0	gn start -> n					gnome					
exception	E_166_SIGN	0	gn end -> n					sign					
exception	E_167_FOREIGN	0	irregular					foreign					
exception	E_168_SWORD	0	silent w					sword					
exception	E_169_SWORE	0	silent w					swore					
exception	E_170_WRESTLE	0	silent w					wrestle					
exception	E_171_WRECK	0	wr->r					wreck					
exception	E_172_WRAP	0	wr->r					wrap					
exception	E_173_WREN	0	wr->r					wren					
exception	E_174_PSYCH	0	ps->s					psych					
exception	E_175_PNEUMONIA	0	p silent					pneumonia					
exception	E_176_RECEIPT	0	silent p					receipt					
exception	E_177_CORPS	0	silent p					corps					
exception	E_178_CUPBOARD	0	irregular					cupboard					
exception	E_179_CHOCOLATE	0	common reduction					chocolate					
exception	E_180_DIFFERENT	0	common reduction					different					
exception	E_181_FAVORITE	0	common reduction					favorite					
exception	E_182_EVERY	0	common reduction					every					
exception	E_183_EVEREST	0	proper noun kept (optional)					everest					
exception	E_184_MEMORY	0	common reduction					memory					
exception	E_185_CAMERA	0	common reduction					camera					
exception	E_186_GENERAL	0	common reduction					general					
exception	E_187_NATURAL	0	common reduction					natural					
exception	E_188_LITERATURE	0	common reduction					literature					
exception	E_189_TEMPERATURE	0	common reduction					temperature					
exception	E_190_INTERESTING	0	common reduction					interesting					
exception	E_191_SEPARATE	0	irregular vowel					separate					
exception	E_192_CHOOSE	0	oo -> ū					choose					
exception	E_193_LOSE	0	irregular					lose					
exception	E_194_LOSS	0	irregular					loss					
exception	E_195_MOVE	0	irregular					move					
exception	E_196_PROVE	0	irregular					prove					
exception	E_197_LOVE	0	irregular					love					
exception	E_198_ABOVE	0	irregular					above					
exception	E_199_GLOVE	0	irregular					glove					
exception	E_200_DOVE	0	irregular (bird)					dove					
													
